Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000144.77599,SP1000144.25.77599,SY1000144.2026.77599,iPad1(1000144),144,01.06.26 17:15,Prod,A1000144.6235,Tisch 13,101,S1000144.77599,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000144.77600,SP1000144.25.77600,SY1000144.2026.77600,iPad1(1000144),144,01.06.26 17:15,Prod,A1000144.6235,Tisch 13,101,S1000144.77600,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000144.77601,SP1000144.25.77601,SY1000144.2026.77601,iPad1(1000144),144,01.06.26 17:15,Prod,A1000144.6235,Tisch 13,101,S1000144.77601,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000144.77602,SP1000144.25.77602,SY1000144.2026.77602,iPad1(1000144),144,01.06.26 12:12,Prod,A1000144.6236,Tisch 1,101,S1000144.77602,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000144.77603,SP1000144.25.77603,SY1000144.2026.77603,iPad1(1000144),144,01.06.26 12:12,Prod,A1000144.6236,Tisch 1,101,S1000144.77603,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000144.77604,SP1000144.25.77604,SY1000144.2026.77604,iPad1(1000144),144,01.06.26 12:12,Prod,A1000144.6236,Tisch 1,101,S1000144.77604,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000144.77605,SP1000144.25.77605,SY1000144.2026.77605,iPad1(1000144),144,01.06.26 12:41,Prod,A1000144.6237,Tisch 24,113,S1000144.77605,SALE,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000144.77606,SP1000144.25.77606,SY1000144.2026.77606,iPad1(1000144),144,01.06.26 12:41,Prod,A1000144.6237,Tisch 24,113,S1000144.77606,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,116,Vanillequark,Desserts,,MwSt. 7%,1.07,5.514019,0.385981,Normalverkauf
S1000144.77607,SP1000144.25.77607,SY1000144.2026.77607,iPad1(1000144),144,01.06.26 18:22,Prod,A1000144.6238,Tisch 1,110,S1000144.77607,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000144.77608,SP1000144.25.77608,SY1000144.2026.77608,iPad1(1000144),144,01.06.26 18:22,Prod,A1000144.6238,Tisch 1,110,S1000144.77608,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000144.77609,SP1000144.25.77609,SY1000144.2026.77609,iPad1(1000144),144,01.06.26 17:10,Prod,A1000144.6239,Tisch 15,101,S1000144.77609,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
