Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000053.57538,SP1000053.19.57538,SY1000053.2026.57538,iPad1(1000053),53,01.06.26 17:45,Prod,A1000053.6206,Tisch 1,105,S1000053.57538,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000053.57539,SP1000053.19.57539,SY1000053.2026.57539,iPad1(1000053),53,01.06.26 17:45,Prod,A1000053.6206,Tisch 1,105,S1000053.57539,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000053.57540,SP1000053.19.57540,SY1000053.2026.57540,iPad1(1000053),53,01.06.26 17:45,Prod,A1000053.6206,Tisch 1,105,S1000053.57540,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000053.57541,SP1000053.19.57541,SY1000053.2026.57541,iPad1(1000053),53,01.06.26 20:12,Prod,A1000053.6207,,112,S1000053.57541,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000053.57542,SP1000053.19.57542,SY1000053.2026.57542,iPad1(1000053),53,01.06.26 20:12,Prod,A1000053.6207,,112,S1000053.57542,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000053.57543,SP1000053.19.57543,SY1000053.2026.57543,iPad1(1000053),53,01.06.26 16:03,Prod,A1000053.6208,Tisch 1,108,S1000053.57543,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000053.57544,SP1000053.19.57544,SY1000053.2026.57544,iPad1(1000053),53,01.06.26 17:20,Prod,A1000053.6209,Tisch 4,106,S1000053.57544,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000053.57545,SP1000053.19.57545,SY1000053.2026.57545,iPad1(1000053),53,01.06.26 17:57,Prod,A1000053.6210,,105,S1000053.57545,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000053.57546,SP1000053.19.57546,SY1000053.2026.57546,iPad1(1000053),53,01.06.26 17:57,Prod,A1000053.6210,,105,S1000053.57546,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000053.57547,SP1000053.19.57547,SY1000053.2026.57547,iPad1(1000053),53,01.06.26 17:57,Prod,A1000053.6210,,105,S1000053.57547,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000053.57548,SP1000053.19.57548,SY1000053.2026.57548,iPad1(1000053),53,01.06.26 10:46,Prod,A1000053.6211,Tisch 7,106,S1000053.57548,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000053.57549,SP1000053.19.57549,SY1000053.2026.57549,iPad1(1000053),53,01.06.26 10:46,Prod,A1000053.6211,Tisch 7,106,S1000053.57549,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000053.57550,SP1000053.19.57550,SY1000053.2026.57550,iPad1(1000053),53,01.06.26 10:46,Prod,A1000053.6211,Tisch 7,106,S1000053.57550,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000053.57551,SP1000053.19.57551,SY1000053.2026.57551,iPad1(1000053),53,01.06.26 14:17,Prod,A1000053.6212,Tisch 21,112,S1000053.57551,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000053.57552,SP1000053.19.57552,SY1000053.2026.57552,iPad1(1000053),53,01.06.26 12:10,Prod,A1000053.6213,Tisch 12,105,S1000053.57552,SALE,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000053.57553,SP1000053.19.57553,SY1000053.2026.57553,iPad1(1000053),53,01.06.26 12:10,Prod,A1000053.6213,Tisch 12,105,S1000053.57553,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000053.57554,SP1000053.19.57554,SY1000053.2026.57554,iPad1(1000053),53,01.06.26 12:10,Prod,A1000053.6213,Tisch 12,105,S1000053.57554,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000053.57555,SP1000053.19.57555,SY1000053.2026.57555,iPad1(1000053),53,01.06.26 20:53,Prod,A1000053.6214,Tisch 6,105,S1000053.57555,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000053.57556,SP1000053.19.57556,SY1000053.2026.57556,iPad1(1000053),53,01.06.26 11:23,Prod,A1000053.6215,,105,S1000053.57556,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000053.57557,SP1000053.19.57557,SY1000053.2026.57557,iPad1(1000053),53,01.06.26 15:54,Prod,A1000053.6216,Tisch 16,108,S1000053.57557,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000053.57558,SP1000053.19.57558,SY1000053.2026.57558,iPad1(1000053),53,01.06.26 15:54,Prod,A1000053.6216,Tisch 16,108,S1000053.57558,SALE,2,14.5,29.0,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,27.102804,1.897196,Normalverkauf
S1000053.57559,SP1000053.19.57559,SY1000053.2026.57559,iPad1(1000053),53,01.06.26 13:50,Prod,A1000053.6217,,105,S1000053.57559,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000053.57560,SP1000053.19.57560,SY1000053.2026.57560,iPad1(1000053),53,01.06.26 13:50,Prod,A1000053.6217,,105,S1000053.57560,SALE,2,4.9,9.8,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000053.57561,SP1000053.19.57561,SY1000053.2026.57561,iPad1(1000053),53,01.06.26 13:50,Prod,A1000053.6217,,105,S1000053.57561,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000053.57562,SP1000053.19.57562,SY1000053.2026.57562,iPad1(1000053),53,01.06.26 15:47,Prod,A1000053.6218,,106,S1000053.57562,VOID,2,9.8,19.6,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,18.317757,1.282243,Normalverkauf
S1000053.57563,SP1000053.19.57563,SY1000053.2026.57563,iPad1(1000053),53,01.06.26 15:47,Prod,A1000053.6218,,106,S1000053.57563,VOID,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000053.57564,SP1000053.19.57564,SY1000053.2026.57564,iPad1(1000053),53,01.06.26 15:47,Prod,A1000053.6218,,106,S1000053.57564,VOID,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000053.57565,SP1000053.19.57565,SY1000053.2026.57565,iPad1(1000053),53,01.06.26 11:58,Prod,A1000053.6219,Tisch 20,112,S1000053.57565,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
