Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000063.44824,SP1000063.16.44824,SY1000063.2026.44824,iPad1(1000063),63,01.06.26 12:28,Prod,A1000063.6209,Tisch 2,103,S1000063.44824,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000063.44825,SP1000063.16.44825,SY1000063.2026.44825,iPad1(1000063),63,01.06.26 12:28,Prod,A1000063.6209,Tisch 2,103,S1000063.44825,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000063.44826,SP1000063.16.44826,SY1000063.2026.44826,iPad1(1000063),63,01.06.26 12:42,Prod,A1000063.6210,Tisch 22,103,S1000063.44826,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000063.44827,SP1000063.16.44827,SY1000063.2026.44827,iPad1(1000063),63,01.06.26 12:42,Prod,A1000063.6210,Tisch 22,103,S1000063.44827,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000063.44828,SP1000063.16.44828,SY1000063.2026.44828,iPad1(1000063),63,01.06.26 12:42,Prod,A1000063.6210,Tisch 22,103,S1000063.44828,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000063.44829,SP1000063.16.44829,SY1000063.2026.44829,iPad1(1000063),63,01.06.26 13:06,Prod,A1000063.6211,Tisch 7,103,S1000063.44829,SALE,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000063.44830,SP1000063.16.44830,SY1000063.2026.44830,iPad1(1000063),63,01.06.26 13:06,Prod,A1000063.6211,Tisch 7,103,S1000063.44830,SALE,1,13.5,13.5,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,12.616822,0.883178,Normalverkauf
S1000063.44831,SP1000063.16.44831,SY1000063.2026.44831,iPad1(1000063),63,01.06.26 13:06,Prod,A1000063.6211,Tisch 7,103,S1000063.44831,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000063.44832,SP1000063.16.44832,SY1000063.2026.44832,iPad1(1000063),63,01.06.26 19:58,Prod,A1000063.6212,Tisch 20,103,S1000063.44832,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000063.44833,SP1000063.16.44833,SY1000063.2026.44833,iPad1(1000063),63,01.06.26 19:58,Prod,A1000063.6212,Tisch 20,103,S1000063.44833,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000063.44834,SP1000063.16.44834,SY1000063.2026.44834,iPad1(1000063),63,01.06.26 19:58,Prod,A1000063.6212,Tisch 20,103,S1000063.44834,SALE,2,13.5,27.0,0.0,0.0,0.0,0.0,102,Matjes,Hauptspeisen,,MwSt. 7%,1.07,25.233645,1.766355,Normalverkauf
S1000063.44835,SP1000063.16.44835,SY1000063.2026.44835,iPad1(1000063),63,01.06.26 19:04,Prod,A1000063.6213,,119,S1000063.44835,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000063.44836,SP1000063.16.44836,SY1000063.2026.44836,iPad1(1000063),63,01.06.26 17:33,Prod,A1000063.6214,Tisch 19,103,S1000063.44836,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000063.44837,SP1000063.16.44837,SY1000063.2026.44837,iPad1(1000063),63,01.06.26 19:17,Prod,A1000063.6215,Tisch 15,116,S1000063.44837,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
S1000063.44838,SP1000063.16.44838,SY1000063.2026.44838,iPad1(1000063),63,01.06.26 12:56,Prod,A1000063.6216,Tisch 15,105,S1000063.44838,SALE,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000063.44839,SP1000063.16.44839,SY1000063.2026.44839,iPad1(1000063),63,01.06.26 19:19,Prod,A1000063.6217,,119,S1000063.44839,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000063.44840,SP1000063.16.44840,SY1000063.2026.44840,iPad1(1000063),63,01.06.26 19:19,Prod,A1000063.6217,,119,S1000063.44840,SALE,1,11.5,11.5,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,10.747664,0.752336,Normalverkauf
S1000063.44841,SP1000063.16.44841,SY1000063.2026.44841,iPad1(1000063),63,01.06.26 12:02,Prod,A1000063.6218,Tisch 7,114,S1000063.44841,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000063.44842,SP1000063.16.44842,SY1000063.2026.44842,iPad1(1000063),63,01.06.26 12:02,Prod,A1000063.6218,Tisch 7,114,S1000063.44842,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000063.44843,SP1000063.16.44843,SY1000063.2026.44843,iPad1(1000063),63,01.06.26 18:26,Prod,A1000063.6219,,103,S1000063.44843,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000063.44844,SP1000063.16.44844,SY1000063.2026.44844,iPad1(1000063),63,01.06.26 18:26,Prod,A1000063.6219,,103,S1000063.44844,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000063.44845,SP1000063.16.44845,SY1000063.2026.44845,iPad1(1000063),63,01.06.26 18:26,Prod,A1000063.6219,,103,S1000063.44845,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
