Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000181.56809,SP1000181.22.56809,SY1000181.2026.56809,iPad1(1000181),181,01.06.26 12:02,Prod,A1000181.6760,Tisch 13,102,S1000181.56809,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000181.56810,SP1000181.22.56810,SY1000181.2026.56810,iPad1(1000181),181,01.06.26 13:10,Prod,A1000181.6761,Tisch 2,108,S1000181.56810,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000181.56811,SP1000181.22.56811,SY1000181.2026.56811,iPad1(1000181),181,01.06.26 13:10,Prod,A1000181.6761,Tisch 2,108,S1000181.56811,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000181.56812,SP1000181.22.56812,SY1000181.2026.56812,iPad1(1000181),181,01.06.26 13:10,Prod,A1000181.6761,Tisch 2,108,S1000181.56812,SALE,1,11.9,11.9,0.0,0.0,0.0,0.0,110,Matjes-Baguette,Hauptgerichte,,MwSt. 7%,1.07,11.121495,0.778505,Normalverkauf
S1000181.56813,SP1000181.22.56813,SY1000181.2026.56813,iPad1(1000181),181,01.06.26 17:34,Prod,A1000181.6762,Tisch 16,114,S1000181.56813,SALE,2,3.2,6.4,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,5.378151,1.021849,Normalverkauf
S1000181.56814,SP1000181.22.56814,SY1000181.2026.56814,iPad1(1000181),181,01.06.26 18:05,Prod,A1000181.6763,Tisch 23,114,S1000181.56814,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,115,Tiramisu,Desserts,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
S1000181.56815,SP1000181.22.56815,SY1000181.2026.56815,iPad1(1000181),181,01.06.26 12:49,Prod,A1000181.6764,Tisch 2,114,S1000181.56815,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000181.56816,SP1000181.22.56816,SY1000181.2026.56816,iPad1(1000181),181,01.06.26 12:35,Prod,A1000181.6765,Tisch 23,114,S1000181.56816,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000181.56817,SP1000181.22.56817,SY1000181.2026.56817,iPad1(1000181),181,01.06.26 11:01,Prod,A1000181.6766,Tisch 24,114,S1000181.56817,VOID,2,10.9,21.8,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000181.56818,SP1000181.22.56818,SY1000181.2026.56818,iPad1(1000181),181,01.06.26 11:01,Prod,A1000181.6766,Tisch 24,114,S1000181.56818,VOID,2,14.5,29.0,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,27.102804,1.897196,Normalverkauf
