Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000052.42508,SP1000052.47.42508,SY1000052.2026.42508,iPad1(1000052),52,01.06.26 19:33,Prod,A1000052.6009,,108,S1000052.42508,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000052.42509,SP1000052.47.42509,SY1000052.2026.42509,iPad1(1000052),52,01.06.26 19:33,Prod,A1000052.6009,,108,S1000052.42509,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000052.42510,SP1000052.47.42510,SY1000052.2026.42510,iPad1(1000052),52,01.06.26 14:23,Prod,A1000052.6010,Tisch 4,102,S1000052.42510,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,124,Cola Zero,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000052.42511,SP1000052.47.42511,SY1000052.2026.42511,iPad1(1000052),52,01.06.26 09:07,Prod,A1000052.6011,Tisch 21,102,S1000052.42511,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000052.42512,SP1000052.47.42512,SY1000052.2026.42512,iPad1(1000052),52,01.06.26 09:07,Prod,A1000052.6011,Tisch 21,102,S1000052.42512,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000052.42513,SP1000052.47.42513,SY1000052.2026.42513,iPad1(1000052),52,01.06.26 09:07,Prod,A1000052.6011,Tisch 21,102,S1000052.42513,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000052.42514,SP1000052.47.42514,SY1000052.2026.42514,iPad1(1000052),52,01.06.26 15:31,Prod,A1000052.6012,,102,S1000052.42514,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000052.42515,SP1000052.47.42515,SY1000052.2026.42515,iPad1(1000052),52,01.06.26 15:31,Prod,A1000052.6012,,102,S1000052.42515,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000052.42516,SP1000052.47.42516,SY1000052.2026.42516,iPad1(1000052),52,01.06.26 15:31,Prod,A1000052.6012,,102,S1000052.42516,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000052.42517,SP1000052.47.42517,SY1000052.2026.42517,iPad1(1000052),52,01.06.26 11:14,Prod,A1000052.6013,Tisch 15,109,S1000052.42517,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
