Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000212.69367,SP1000212.50.69367,SY1000212.2026.69367,iPad1(1000212),212,01.06.26 11:43,Prod,A1000212.6585,Tisch 13,103,S1000212.69367,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000212.69368,SP1000212.50.69368,SY1000212.2026.69368,iPad1(1000212),212,01.06.26 11:43,Prod,A1000212.6585,Tisch 13,103,S1000212.69368,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,127,Alkoholfreies Bier,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000212.69369,SP1000212.50.69369,SY1000212.2026.69369,iPad1(1000212),212,01.06.26 11:43,Prod,A1000212.6585,Tisch 13,103,S1000212.69369,SALE,2,6.9,13.8,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,12.897196,0.902804,Normalverkauf
S1000212.69370,SP1000212.50.69370,SY1000212.2026.69370,iPad1(1000212),212,01.06.26 18:17,Prod,A1000212.6586,Tisch 15,113,S1000212.69370,VOID,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000212.69371,SP1000212.50.69371,SY1000212.2026.69371,iPad1(1000212),212,01.06.26 12:41,Prod,A1000212.6587,Tisch 11,115,S1000212.69371,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000212.69372,SP1000212.50.69372,SY1000212.2026.69372,iPad1(1000212),212,01.06.26 10:26,Prod,A1000212.6588,,112,S1000212.69372,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000212.69373,SP1000212.50.69373,SY1000212.2026.69373,iPad1(1000212),212,01.06.26 10:26,Prod,A1000212.6588,,112,S1000212.69373,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000212.69374,SP1000212.50.69374,SY1000212.2026.69374,iPad1(1000212),212,01.06.26 11:55,Prod,A1000212.6589,Tisch 7,102,S1000212.69374,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000212.69375,SP1000212.50.69375,SY1000212.2026.69375,iPad1(1000212),212,01.06.26 11:55,Prod,A1000212.6589,Tisch 7,102,S1000212.69375,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000212.69376,SP1000212.50.69376,SY1000212.2026.69376,iPad1(1000212),212,01.06.26 11:55,Prod,A1000212.6589,Tisch 7,102,S1000212.69376,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,107,Chicken Burger,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
