Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000377.43174,SP1000377.42.43174,SY1000377.2026.43174,iPad1(1000377),377,01.06.26 11:57,Prod,A1000377.6751,Tisch 20,105,S1000377.43174,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000377.43175,SP1000377.42.43175,SY1000377.2026.43175,iPad1(1000377),377,01.06.26 11:57,Prod,A1000377.6751,Tisch 20,105,S1000377.43175,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,109,Bismarck-Baguette,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000377.43176,SP1000377.42.43176,SY1000377.2026.43176,iPad1(1000377),377,01.06.26 20:51,Prod,A1000377.6752,Tisch 10,105,S1000377.43176,SALE,1,5.5,5.5,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,5.140187,0.359813,Normalverkauf
S1000377.43177,SP1000377.42.43177,SY1000377.2026.43177,iPad1(1000377),377,01.06.26 20:51,Prod,A1000377.6752,Tisch 10,105,S1000377.43177,SALE,1,2.8,2.8,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,2.352941,0.447059,Normalverkauf
S1000377.43178,SP1000377.42.43178,SY1000377.2026.43178,iPad1(1000377),377,01.06.26 20:51,Prod,A1000377.6752,Tisch 10,105,S1000377.43178,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,111,Pommes Frites,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000377.43179,SP1000377.42.43179,SY1000377.2026.43179,iPad1(1000377),377,01.06.26 12:29,Prod,A1000377.6753,Tisch 19,110,S1000377.43179,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000377.43180,SP1000377.42.43180,SY1000377.2026.43180,iPad1(1000377),377,01.06.26 12:29,Prod,A1000377.6753,Tisch 19,110,S1000377.43180,SALE,1,4.9,4.9,0.0,0.0,0.0,0.0,112,Kartoffelwedges,Beilagen,,MwSt. 7%,1.07,4.579439,0.320561,Normalverkauf
S1000377.43181,SP1000377.42.43181,SY1000377.2026.43181,iPad1(1000377),377,01.06.26 19:10,Prod,A1000377.6754,Tisch 10,114,S1000377.43181,SALE,1,14.5,14.5,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,13.551402,0.948598,Normalverkauf
S1000377.43182,SP1000377.42.43182,SY1000377.2026.43182,iPad1(1000377),377,01.06.26 19:25,Prod,A1000377.6755,Tisch 24,102,S1000377.43182,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000377.43183,SP1000377.42.43183,SY1000377.2026.43183,iPad1(1000377),377,01.06.26 19:25,Prod,A1000377.6755,Tisch 24,102,S1000377.43183,SALE,2,2.8,5.6,0.0,0.0,0.0,0.0,121,Mineralwasser,Getränke,,MwSt. 19%,1.19,4.705882,0.894118,Normalverkauf
