Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000064.33897,SP1000064.32.33897,SY1000064.2026.33897,iPad1(1000064),64,01.06.26 09:13,Prod,A1000064.6183,Tisch 19,102,S1000064.33897,VOID,2,11.5,23.0,0.0,0.0,0.0,0.0,105,Garnelen-Kimchi-Bruger,Hauptgerichte,,MwSt. 7%,1.07,21.495327,1.504673,Normalverkauf
S1000064.33898,SP1000064.32.33898,SY1000064.2026.33898,iPad1(1000064),64,01.06.26 09:52,Prod,A1000064.6184,Tisch 3,105,S1000064.33898,SALE,1,6.9,6.9,0.0,0.0,0.0,0.0,103,Fischbrötchen Räucherlachs,Hauptspeisen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000064.33899,SP1000064.32.33899,SY1000064.2026.33899,iPad1(1000064),64,01.06.26 11:53,Prod,A1000064.6185,Tisch 5,107,S1000064.33899,VOID,1,6.9,6.9,0.0,0.0,0.0,0.0,113,Garnelen Box,Beilagen,,MwSt. 7%,1.07,6.448598,0.451402,Normalverkauf
S1000064.33900,SP1000064.32.33900,SY1000064.2026.33900,iPad1(1000064),64,01.06.26 17:11,Prod,A1000064.6186,,103,S1000064.33900,SALE,1,4.2,4.2,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,3.529412,0.670588,Normalverkauf
S1000064.33901,SP1000064.32.33901,SY1000064.2026.33901,iPad1(1000064),64,01.06.26 17:11,Prod,A1000064.6186,,103,S1000064.33901,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,126,Spezi,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000064.33902,SP1000064.32.33902,SY1000064.2026.33902,iPad1(1000064),64,01.06.26 10:51,Prod,A1000064.6187,Tisch 12,116,S1000064.33902,SALE,2,5.9,11.8,0.0,0.0,0.0,0.0,123,Inger-Limonade,Getränke,,MwSt. 19%,1.19,9.915966,1.884034,Normalverkauf
S1000064.33903,SP1000064.32.33903,SY1000064.2026.33903,iPad1(1000064),64,01.06.26 10:51,Prod,A1000064.6187,Tisch 12,116,S1000064.33903,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000064.33904,SP1000064.32.33904,SY1000064.2026.33904,iPad1(1000064),64,01.06.26 10:51,Prod,A1000064.6187,Tisch 12,116,S1000064.33904,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000064.33905,SP1000064.32.33905,SY1000064.2026.33905,iPad1(1000064),64,01.06.26 16:55,Prod,A1000064.6188,Tisch 15,105,S1000064.33905,SALE,1,3.2,3.2,0.0,0.0,0.0,0.0,120,Apfelschorle,Getränke,,MwSt. 19%,1.19,2.689076,0.510924,Normalverkauf
S1000064.33906,SP1000064.32.33906,SY1000064.2026.33906,iPad1(1000064),64,01.06.26 16:55,Prod,A1000064.6188,Tisch 15,105,S1000064.33906,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000064.33907,SP1000064.32.33907,SY1000064.2026.33907,iPad1(1000064),64,01.06.26 16:55,Prod,A1000064.6188,Tisch 15,105,S1000064.33907,SALE,2,3.9,7.8,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,6.554622,1.245378,Normalverkauf
S1000064.33908,SP1000064.32.33908,SY1000064.2026.33908,iPad1(1000064),64,01.06.26 13:02,Prod,A1000064.6189,Tisch 20,116,S1000064.33908,SALE,1,9.8,9.8,0.0,0.0,0.0,0.0,108,Seelachs-Ei-Baugette,Hauptgerichte,,MwSt. 7%,1.07,9.158879,0.641121,Normalverkauf
S1000064.33909,SP1000064.32.33909,SY1000064.2026.33909,iPad1(1000064),64,01.06.26 13:02,Prod,A1000064.6189,Tisch 20,116,S1000064.33909,SALE,2,5.5,11.0,0.0,0.0,0.0,0.0,114,Fisch Nuggets Box,Beilagen,,MwSt. 7%,1.07,10.280374,0.719626,Normalverkauf
S1000064.33910,SP1000064.32.33910,SY1000064.2026.33910,iPad1(1000064),64,01.06.26 18:46,Prod,A1000064.6190,Tisch 2,103,S1000064.33910,SALE,2,14.5,29.0,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,27.102804,1.897196,Normalverkauf
S1000064.33911,SP1000064.32.33911,SY1000064.2026.33911,iPad1(1000064),64,01.06.26 18:46,Prod,A1000064.6190,Tisch 2,103,S1000064.33911,SALE,1,14.5,14.5,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,13.551402,0.948598,Normalverkauf
