Identifikator,Perioden Id,Jahres Id,Geräte_Name,Standort,Datum,Modus,Konto,Konto Name,Mitarbeiter,Referenz,Typ,Mng,Einzelpreis,FinalPreis,Rabatt,Materialverlust/Bruch,Gratis,Buchung,SKU,Artikel,Gruppe,StatGruppe,SteuerName,SteuerRate,VorSteuern,SteuernMenge,Profil
S1000023.50910,SP1000023.9.50910,SY1000023.2026.50910,iPad1(1000023),23,01.06.26 13:20,Prod,A1000023.6153,Tisch 18,114,S1000023.50910,SALE,1,5.9,5.9,0.0,0.0,0.0,0.0,125,Zitronen-Limonade,Getränke,,MwSt. 19%,1.19,4.957983,0.942017,Normalverkauf
S1000023.50911,SP1000023.9.50911,SY1000023.2026.50911,iPad1(1000023),23,01.06.26 13:20,Prod,A1000023.6153,Tisch 18,114,S1000023.50911,SALE,2,6.5,13.0,0.0,0.0,0.0,0.0,118,Schokokuchen,Desserts,,MwSt. 7%,1.07,12.149533,0.850467,Normalverkauf
S1000023.50912,SP1000023.9.50912,SY1000023.2026.50912,iPad1(1000023),23,01.06.26 17:06,Prod,A1000023.6154,Tisch 1,115,S1000023.50912,SALE,2,10.9,21.8,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,20.373832,1.426168,Normalverkauf
S1000023.50913,SP1000023.9.50913,SY1000023.2026.50913,iPad1(1000023),23,01.06.26 17:06,Prod,A1000023.6154,Tisch 1,115,S1000023.50913,SALE,1,3.9,3.9,0.0,0.0,0.0,0.0,119,Cola,Getränke,,MwSt. 19%,1.19,3.277311,0.622689,Normalverkauf
S1000023.50914,SP1000023.9.50914,SY1000023.2026.50914,iPad1(1000023),23,01.06.26 17:06,Prod,A1000023.6154,Tisch 1,115,S1000023.50914,SALE,1,14.5,14.5,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,13.551402,0.948598,Normalverkauf
S1000023.50915,SP1000023.9.50915,SY1000023.2026.50915,iPad1(1000023),23,01.06.26 12:19,Prod,A1000023.6155,Tisch 16,109,S1000023.50915,SALE,1,14.5,14.5,0.0,0.0,0.0,0.0,101,Lachs,Hauptspeisen,,MwSt. 7%,1.07,13.551402,0.948598,Normalverkauf
S1000023.50916,SP1000023.9.50916,SY1000023.2026.50916,iPad1(1000023),23,01.06.26 12:19,Prod,A1000023.6155,Tisch 16,109,S1000023.50916,SALE,1,6.5,6.5,0.0,0.0,0.0,0.0,100,Fischbrötchen Backfisch,Hauptspeisen,,MwSt. 7%,1.07,6.074766,0.425234,Normalverkauf
S1000023.50917,SP1000023.9.50917,SY1000023.2026.50917,iPad1(1000023),23,01.06.26 17:58,Prod,A1000023.6156,Tisch 9,115,S1000023.50917,SALE,1,10.9,10.9,0.0,0.0,0.0,0.0,104,Thunfisch Wrap,Hauptgerichte,,MwSt. 7%,1.07,10.186916,0.713084,Normalverkauf
S1000023.50918,SP1000023.9.50918,SY1000023.2026.50918,iPad1(1000023),23,01.06.26 16:58,Prod,A1000023.6157,Tisch 12,109,S1000023.50918,SALE,2,4.2,8.4,0.0,0.0,0.0,0.0,122,Bier,Getränke,,MwSt. 19%,1.19,7.058824,1.341176,Normalverkauf
S1000023.50919,SP1000023.9.50919,SY1000023.2026.50919,iPad1(1000023),23,01.06.26 11:29,Prod,A1000023.6158,Tisch 16,114,S1000023.50919,SALE,2,7.9,15.8,0.0,0.0,0.0,0.0,106,Neptun-Ringe,Beilagen,,MwSt. 7%,1.07,14.766355,1.033645,Normalverkauf
